Date,cve_station,parameter,value,unit
2020-01-01 15:00:00,SFE,UVA,3.428,17
2020-01-01 16:00:00,CHO,UVA,1.929,17
2020-01-01 16:00:00,CUT,UVA,2.499,17
2020-01-01 16:00:00,LAA,UVA,1.853,17
2020-01-01 16:00:00,MON,UVA,2.512,17
2020-01-01 16:00:00,PED,UVA,2.514,17
2020-01-01 16:00:00,SAG,UVA,2.314,17
2020-01-01 16:00:00,SFE,UVA,2.555,17
2020-01-01 17:00:00,CHO,UVA,1.116,17
2020-01-01 17:00:00,CUT,UVA,1.164,17
2020-01-01 17:00:00,LAA,UVA,0.924,17
2020-01-01 17:00:00,MON,UVA,1.468,17
2020-01-01 17:00:00,PED,UVA,1.451,17
2020-01-01 17:00:00,SAG,UVA,1.406,17
2020-01-01 17:00:00,SFE,UVA,1.488,17
2020-01-01 18:00:00,CHO,UVA,0.23,17
2020-01-01 18:00:00,CUT,UVA,0.451,17
2020-01-01 18:00:00,LAA,UVA,0.364,17
2020-01-01 18:00:00,MON,UVA,0.493,17
2020-01-01 18:00:00,PED,UVA,0.495,17
2020-01-01 18:00:00,SAG,UVA,0.463,17
2020-01-01 18:00:00,SFE,UVA,0.52,17
2020-01-01 19:00:00,CHO,UVA,0.024,17
2020-01-01 19:00:00,CUT,UVA,0.022,17
2020-01-01 19:00:00,LAA,UVA,0.004,17
2020-01-01 19:00:00,MON,UVA,0.024,17
2020-01-01 19:00:00,PED,UVA,0.017,17
2020-01-01 19:00:00,SAG,UVA,0.012,17
2020-01-01 19:00:00,SFE,UVA,0.028,17
2020-01-01 20:00:00,CHO,UVA,0.0,17
2020-01-01 20:00:00,CUT,UVA,0.0,17
2020-01-01 20:00:00,LAA,UVA,0.0,17
2020-01-01 20:00:00,MON,UVA,0.0,17
2020-01-01 20:00:00,PED,UVA,0.0,17
2020-01-01 20:00:00,SAG,UVA,0.0,17
2020-01-01 20:00:00,SFE,UVA,0.0,17
2020-01-01 21:00:00,CHO,UVA,0.0,17
2020-01-01 21:00:00,CUT,UVA,0.0,17
2020-01-01 21:00:00,LAA,UVA,0.0,17
2020-01-01 21:00:00,MON,UVA,0.0,17
2020-01-01 21:00:00,PED,UVA,0.0,17
2020-01-01 21:00:00,SAG,UVA,0.0,17
2020-01-01 21:00:00,SFE,UVA,0.0,17
2020-01-01 22:00:00,CHO,UVA,0.0,17
2020-01-01 22:00:00,CUT,UVA,0.0,17
2020-01-01 22:00:00,LAA,UVA,0.0,17
2020-01-01 22:00:00,MON,UVA,0.0,17
2020-01-01 22:00:00,PED,UVA,0.0,17
2020-01-01 22:00:00,SAG,UVA,0.0,17
2020-01-01 22:00:00,SFE,UVA,0.0,17
2020-01-01 23:00:00,CHO,UVA,0.0,17
2020-01-01 23:00:00,CUT,UVA,0.0,17
2020-01-01 23:00:00,LAA,UVA,0.0,17
2020-01-01 23:00:00,MON,UVA,0.0,17
2020-01-01 23:00:00,PED,UVA,0.0,17
2020-01-01 23:00:00,SAG,UVA,0.0,17
2020-01-01 23:00:00,SFE,UVA,0.0,17
2020-02-01 00:00:00,CHO,UVA,0.0,17
2020-02-01 00:00:00,CUT,UVA,0.0,17
2020-02-01 00:00:00,LAA,UVA,0.0,17
2020-02-01 00:00:00,MON,UVA,0.0,17
2020-02-01 00:00:00,PED,UVA,0.0,17
2020-02-01 00:00:00,SAG,UVA,0.0,17
2020-02-01 00:00:00,SFE,UVA,0.0,17
2020-02-01 01:00:00,CHO,UVA,0.0,17
2020-02-01 01:00:00,CUT,UVA,0.0,17
2020-02-01 01:00:00,LAA,UVA,0.0,17
2020-02-01 01:00:00,MON,UVA,0.0,17
2020-02-01 01:00:00,PED,UVA,0.0,17
2020-02-01 01:00:00,SAG,UVA,0.0,17
2020-02-01 01:00:00,SFE,UVA,0.0,17
2020-02-01 02:00:00,CHO,UVA,0.0,17
2020-02-01 02:00:00,CUT,UVA,0.0,17
2020-02-01 02:00:00,LAA,UVA,0.0,17
2020-02-01 02:00:00,MON,UVA,0.0,17
2020-02-01 02:00:00,PED,UVA,0.0,17
2020-02-01 02:00:00,SAG,UVA,0.0,17
2020-02-01 02:00:00,SFE,UVA,0.0,17
2020-02-01 03:00:00,CHO,UVA,0.0,17
2020-02-01 03:00:00,CUT,UVA,0.0,17
2020-02-01 03:00:00,LAA,UVA,0.0,17
2020-02-01 03:00:00,MON,UVA,0.0,17
2020-02-01 03:00:00,PED,UVA,0.0,17
2020-02-01 03:00:00,SAG,UVA,0.0,17
2020-02-01 03:00:00,SFE,UVA,0.0,17
2020-02-01 04:00:00,CHO,UVA,0.0,17
2020-02-01 04:00:00,CUT,UVA,0.0,17
2020-02-01 04:00:00,LAA,UVA,0.0,17
2020-02-01 04:00:00,MON,UVA,0.0,17
2020-02-01 04:00:00,PED,UVA,0.0,17
2020-02-01 04:00:00,SAG,UVA,0.0,17
2020-02-01 04:00:00,SFE,UVA,0.0,17
2020-02-01 05:00:00,CHO,UVA,0.0,17
2020-02-01 05:00:00,CUT,UVA,0.0,17
2020-02-01 05:00:00,LAA,UVA,0.0,17
2020-02-01 05:00:00,MON,UVA,0.0,17
2020-02-01 05:00:00,PED,UVA,0.0,17
2020-02-01 05:00:00,SAG,UVA,0.0,17
2020-02-01 05:00:00,SFE,UVA,0.0,17
2020-02-01 06:00:00,CHO,UVA,0.0,17
2020-02-01 06:00:00,CUT,UVA,0.0,17
2020-02-01 06:00:00,LAA,UVA,0.0,17
2020-02-01 06:00:00,MON,UVA,0.0,17
2020-02-01 06:00:00,PED,UVA,0.0,17
2020-02-01 06:00:00,SAG,UVA,0.0,17
2020-02-01 06:00:00,SFE,UVA,0.0,17
2020-02-01 07:00:00,CHO,UVA,0.0104,17
2020-02-01 07:00:00,CUT,UVA,0.0,17
2020-02-01 07:00:00,LAA,UVA,0.002,17
2020-02-01 07:00:00,MON,UVA,0.003,17
2020-02-01 07:00:00,PED,UVA,0.001,17
2020-02-01 07:00:00,SAG,UVA,0.001,17
2020-02-01 07:00:00,SFE,UVA,0.0,17
2020-02-01 08:00:00,CHO,UVA,0.101,17
2020-02-01 08:00:00,CUT,UVA,0.105,17
2020-02-01 08:00:00,LAA,UVA,0.083,17
2020-02-01 08:00:00,MON,UVA,0.154,17
2020-02-01 08:00:00,PED,UVA,0.138,17
2020-02-01 08:00:00,SAG,UVA,0.112,17
2020-02-01 08:00:00,SFE,UVA,0.164,17
2020-02-01 09:00:00,CHO,UVA,0.669,17
2020-02-01 09:00:00,CUT,UVA,0.925,17
2020-02-01 09:00:00,LAA,UVA,0.79,17
2020-02-01 09:00:00,MON,UVA,0.745,17
2020-02-01 09:00:00,PED,UVA,0.766,17
2020-02-01 09:00:00,SAG,UVA,0.875,17
2020-02-01 09:00:00,SFE,UVA,0.966,17
2020-02-01 10:00:00,CHO,UVA,1.698,17
2020-02-01 10:00:00,CUT,UVA,2.056,17
2020-02-01 10:00:00,LAA,UVA,1.687,17
2020-02-01 10:00:00,MON,UVA,1.985,17
2020-02-01 10:00:00,PED,UVA,1.762,17
2020-02-01 10:00:00,SAG,UVA,1.855,17
2020-02-01 10:00:00,SFE,UVA,2.021,17
2020-02-01 11:00:00,CHO,UVA,2.364,17
2020-02-01 11:00:00,CUT,UVA,2.999,17
2020-02-01 11:00:00,LAA,UVA,2.341,17
2020-02-01 11:00:00,MON,UVA,2.674,17
2020-02-01 11:00:00,PED,UVA,2.167,17
2020-02-01 11:00:00,SAG,UVA,2.998,17
2020-02-01 11:00:00,SFE,UVA,3.019,17
2020-02-01 12:00:00,CHO,UVA,2.808,17
2020-02-01 12:00:00,CUT,UVA,2.938,17
2020-02-01 12:00:00,LAA,UVA,1.76,17
2020-02-01 12:00:00,MON,UVA,3.659,17
2020-02-01 12:00:00,PED,UVA,3.602,17
2020-02-01 12:00:00,SAG,UVA,3.707,17
2020-02-01 12:00:00,SFE,UVA,3.279,17
2020-02-01 13:00:00,CHO,UVA,2.842,17
2020-02-01 13:00:00,CUT,UVA,3.908,17
2020-02-01 13:00:00,LAA,UVA,2.663,17
2020-02-01 13:00:00,MON,UVA,4.155,17
2020-02-01 13:00:00,PED,UVA,4.303,17
2020-02-01 13:00:00,SAG,UVA,4.386,17
2020-02-01 13:00:00,SFE,UVA,3.228,17
2020-02-01 14:00:00,CHO,UVA,2.442,17
2020-02-01 14:00:00,CUT,UVA,3.476,17
2020-02-01 14:00:00,LAA,UVA,1.431,17
2020-02-01 14:00:00,MON,UVA,4.095,17
2020-02-01 14:00:00,PED,UVA,4.024,17
2020-02-01 14:00:00,SAG,UVA,4.332,17
2020-02-01 14:00:00,SFE,UVA,4.353,17
2020-02-01 15:00:00,CHO,UVA,1.865,17
2020-02-01 15:00:00,CUT,UVA,2.972,17
2020-02-01 15:00:00,LAA,UVA,0.9,17
2020-02-01 15:00:00,MON,UVA,3.483,17
2020-02-01 15:00:00,PED,UVA,1.636,17
2020-02-01 15:00:00,SAG,UVA,3.395,17
2020-02-01 15:00:00,SFE,UVA,2.436,17
2020-02-01 16:00:00,CHO,UVA,1.22,17
2020-02-01 16:00:00,CUT,UVA,1.485,17
2020-02-01 16:00:00,LAA,UVA,1.003,17
2020-02-01 16:00:00,MON,UVA,2.796,17
2020-02-01 16:00:00,PED,UVA,1.753,17
2020-02-01 16:00:00,SAG,UVA,1.239,17
2020-02-01 16:00:00,SFE,UVA,0.811,17
2020-02-01 17:00:00,CHO,UVA,0.539,17
2020-02-01 17:00:00,CUT,UVA,0.642,17
2020-02-01 17:00:00,LAA,UVA,0.915,17
2020-02-01 17:00:00,MON,UVA,1.106,17
2020-02-01 17:00:00,PED,UVA,1.757,17
2020-02-01 17:00:00,SAG,UVA,1.333,17
2020-02-01 17:00:00,SFE,UVA,1.208,17
2020-02-01 18:00:00,CHO,UVA,0.29,17
2020-02-01 18:00:00,CUT,UVA,0.188,17
2020-02-01 18:00:00,LAA,UVA,0.302,17
2020-02-01 18:00:00,MON,UVA,0.391,17
2020-02-01 18:00:00,PED,UVA,0.513,17
2020-02-01 18:00:00,SAG,UVA,0.405,17
2020-02-01 18:00:00,SFE,UVA,0.467,17
2020-02-01 19:00:00,CHO,UVA,0.012,17
2020-02-01 19:00:00,CUT,UVA,0.013,17
